LINK_MODEL_BASED::ORIGINAL::LEFT_KNEE_ANGLE
File	Frame	X 	Y 	Z 
 - 	438	-21.037748	2.422237	7.481467
 - 	439	-24.668741	3.047684	7.214332
 - 	440	-28.646820	3.660470	7.009984
 - 	441	-32.959835	4.250918	6.831284
 - 	442	-37.599567	4.821823	6.647639
 - 	443	-42.549469	5.383050	6.446809
 - 	444	-47.772964	5.937933	6.244511
 - 	445	-53.210480	6.470706	6.077037
 - 	446	-58.785786	6.946136	5.976920
 - 	447	-64.413704	7.315803	5.951764
 - 	448	-70.007080	7.525734	5.975912
 - 	449	-75.483780	7.530985	5.990727
 - 	450	-80.773453	7.319340	5.911245
 - 	451	-85.822029	6.932089	5.645620
 - 	452	-90.591080	6.464743	5.129032
 - 	453	-95.048859	6.034870	4.347047
 - 	454	-99.156921	5.727146	3.327221
 - 	455	-102.864655	5.560246	2.132641
 - 	456	-106.113983	5.494857	0.865907
 - 	457	-108.844101	5.459887	-0.361166
 - 	458	-110.995712	5.386094	-1.469564
 - 	459	-112.519814	5.236776	-2.416750
 - 	460	-113.385216	5.012528	-3.174324
 - 	461	-113.579399	4.726185	-3.714056
 - 	462	-113.105499	4.372610	-4.018397
 - 	463	-111.978363	3.924691	-4.104371
 - 	464	-110.221504	3.358334	-4.032163
 - 	465	-107.866951	2.676472	-3.877194
 - 	466	-104.956161	1.909104	-3.677534
 - 	467	-101.535721	1.098216	-3.400270
 - 	468	-97.647484	0.285566	-2.966181
 - 	469	-93.320763	-0.493478	-2.313937
 - 	470	-88.575409	-1.209935	-1.439612
 - 	471	-83.432159	-1.836630	-0.385940
 - 	472	-77.918037	-2.346774	0.785306
 - 	473	-72.063179	-2.719211	2.004879
 - 	474	-65.896576	-2.945312	3.207656
 - 	475	-59.448498	-3.025974	4.357056
 - 	476	-52.762875	-2.960653	5.446544
 - 	477	-45.914768	-2.745724	6.469460
 - 	478	-39.025208	-2.385370	7.392725
 - 	479	-32.266865	-1.904132	8.150928
 - 	480	-25.854263	-1.354576	8.660469
 - 	481	-20.022266	-0.814183	8.856393
 - 	482	-15.004179	-0.364543	8.735515
 - 	483	-11.008318	-0.060796	8.370454
 - 	484	-8.186850	0.088317	7.880718
 - 	485	-6.603255	0.119021	7.384111
 - 	486	-6.212654	0.094442	6.959522
 - 	487	-6.867701	0.078532	6.633982
 - 	488	-8.351973	0.109214	6.390842
 - 	489	-10.428951	0.183224	6.189859
 - 	490	-12.892186	0.262347	5.986347
 - 	491	-15.601495	0.296960	5.740750
 - 	492	-18.490021	0.256922	5.423708
 - 	493	-21.544300	0.155597	5.024841
 - 	494	-24.768278	0.049831	4.565418
 - 	495	-28.135748	0.010121	4.109125
 - 	496	-31.551861	0.078142	3.754964
 - 	497	-34.855247	0.244165	3.600548
 - 	498	-37.858383	0.463863	3.695629
 - 	499	-40.397873	0.700537	4.016393
 - 	500	-42.371773	0.954724	4.471221
 - 	501	-43.748623	1.255314	4.934364
 - 	502	-44.546436	1.627403	5.295348
 - 	503	-44.799389	2.069831	5.505540
 - 	504	-44.534355	2.556608	5.598677
